State,ST_CODE,PC_CODE
Andaman & Nicobar Islands,U01,1
Andhra Pradesh,S01,25
Arunachal Pradesh,S02,2
Assam,S03,14
Bihar,S04,40
Chandigarh,U02,1
Chhattisgarh,S26,11
Dadra & Nagar Haveli,U03,1
Daman & Diu,U04,1
Goa,S05,2
Gujarat,S06,26
Haryana,S07,10
Himachal Pradesh,S08,4
Jammu & Kashmir,S09,6
Jharkhand,S27,14
Karnataka,S10,28
Kerala,S11,20
Lakshadweep,U06,1
Madhya Pradesh,S12,29
Maharashtra,S13,48
Manipur,S14,2
Meghalaya,S15,2
Mizoram,S16,1
NCT OF Delhi,U05,7
Nagaland,S17,1
Odisha,S18,21
Puducherry,U07,1
Punjab,S19,13
Rajasthan,S20,25
Sikkim,S21,1
Tamil Nadu,S22,39
Telangana,S29,17
Tripura,S23,2
Uttar Pradesh,S24,80
Uttarakhand,S28,5
West Bengal,S25,42